submission,agent_type,model,instance_id,total_actions,bash_commands,test_executions,file_edits,file_reads,resolved
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-26208,29,9,1,2,17,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13195,6,2,0,1,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14559,14,4,3,8,1,True
20240402_sweagent_gpt4,sweagent,gpt4,pylint-dev__pylint-7277,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25931,17,4,3,8,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12774,33,5,4,21,6,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-15875,10,4,1,2,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7521,30,9,1,2,18,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-13033,14,5,3,5,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-9230,7,1,0,4,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13925,6,3,0,2,0,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-9658,15,3,0,0,11,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-6721,32,11,10,14,6,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-5262,10,4,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-8872,16,7,2,5,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11149,30,7,7,22,0,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21379,19,9,2,3,6,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8269,13,5,3,5,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16082,24,8,4,5,10,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24149,12,6,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-13398,24,6,4,8,9,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23476,10,3,1,5,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15268,10,3,0,2,4,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-7671,10,4,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23824,24,7,4,5,10,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13837,11,4,1,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14087,36,9,9,22,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13406,33,12,7,13,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16950,32,11,5,20,0,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12209,33,1,1,31,0,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7571,34,6,1,13,8,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-2317,10,4,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13933,9,3,0,2,3,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-26342,13,4,1,4,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11119,16,6,3,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8621,21,7,5,10,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20801,32,7,2,4,20,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16263,11,3,3,5,0,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23299,33,11,2,7,14,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-20676,31,4,1,3,23,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-3151,31,3,2,20,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13212,9,2,0,5,1,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-13977,24,11,4,6,6,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14629,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14053,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-9281,27,7,4,17,2,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-22719,12,5,2,3,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-12489,17,5,1,5,6,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-10844,20,9,7,8,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-17139,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15695,34,8,8,24,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14631,24,5,0,11,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14999,7,2,0,2,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14404,11,4,2,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-7889,15,5,4,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14248,33,7,2,18,7,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13877,13,4,2,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-6992,30,2,2,27,0,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14434,27,8,5,14,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12262,24,12,7,8,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-7910,34,12,4,6,15,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-7233,22,3,0,11,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13670,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14580,13,5,2,6,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18199,27,3,1,17,6,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14141,19,5,2,11,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12325,34,13,2,4,16,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16136,18,6,4,8,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14711,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16661,34,10,8,21,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-24661,32,3,1,23,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11532,11,4,3,5,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23262,14,6,2,4,3,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7982,36,6,3,27,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16485,12,4,2,3,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-16597,37,14,3,11,10,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-4687,22,7,1,10,4,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7432,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15104,7,2,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14534,14,5,2,5,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-15809,30,6,1,11,12,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11603,8,2,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14608,13,4,0,1,7,True
