submission,agent_type,model,instance_id,total_actions,bash_commands,test_executions,file_edits,file_reads,resolved
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-15512,32,6,5,12,13,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20212,32,9,2,8,14,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14411,16,6,0,2,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13230,15,2,0,8,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12470,31,6,2,3,21,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25570,29,3,2,20,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13768,16,2,0,9,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13925,6,3,0,2,0,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14774,10,4,2,4,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11564,27,11,6,9,6,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24334,34,10,1,2,21,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21379,19,9,2,3,6,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24149,12,6,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15902,19,5,2,3,8,True
20240402_sweagent_gpt4,sweagent,gpt4,pylint-dev__pylint-7993,15,4,1,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-16988,34,4,2,3,26,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23476,10,3,1,5,1,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14087,36,9,9,22,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-24102,32,7,2,3,21,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23117,32,3,1,2,26,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23913,30,8,2,4,17,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-2317,10,4,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13933,9,3,0,2,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-10451,34,17,1,2,14,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12286,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-25433,20,9,1,2,8,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23562,10,4,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-8365,14,5,3,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15781,20,7,0,1,11,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23299,33,11,2,7,14,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15789,10,3,0,3,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13660,12,4,2,5,2,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-2148,13,1,0,7,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16041,35,12,7,15,6,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-11148,16,5,3,8,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-4248,15,7,0,1,6,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15388,17,7,1,3,6,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13584,12,4,2,5,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13710,25,3,0,17,4,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25500,9,3,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12453,10,1,0,3,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13220,21,6,3,8,6,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-17139,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12908,36,7,7,21,7,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14817,12,5,2,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16910,32,16,3,6,9,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15695,34,8,8,24,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18621,31,7,4,12,11,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14999,7,2,0,2,2,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23964,8,3,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-19007,24,9,6,9,5,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-11897,25,7,1,8,9,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14024,33,14,1,5,13,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16046,17,5,3,8,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15996,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-5221,14,7,1,3,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14580,13,5,2,6,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18199,27,3,1,17,6,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15819,8,2,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-22005,12,4,2,4,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-16281,12,5,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14730,14,8,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-17051,21,6,0,3,11,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15202,22,8,2,3,10,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23262,14,6,2,4,3,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7432,13,6,3,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pallets__flask-4045,8,2,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14016,26,8,4,14,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14534,14,5,2,5,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15347,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14608,13,4,0,1,7,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-12907,36,4,3,27,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8435,36,15,2,11,9,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13177,32,10,8,12,9,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12125,15,5,2,5,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16527,5,1,0,2,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11283,12,4,2,6,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20590,11,3,1,2,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14155,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-4493,30,8,0,8,13,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-10949,16,6,3,4,5,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13496,10,1,0,3,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14672,16,7,4,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16139,6,2,0,1,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11179,16,6,5,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-12236,14,3,1,2,6,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8713,11,5,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25638,18,4,2,6,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14752,5,1,0,2,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14667,31,11,5,8,11,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-10924,22,7,4,12,2,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13497,24,7,4,7,9,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23191,11,6,1,2,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-12454,11,5,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18532,15,5,2,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13028,32,9,9,22,0,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12589,29,6,5,15,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14787,18,6,4,8,3,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8801,26,11,1,6,8,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-25079,31,12,1,2,16,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18835,12,5,2,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14382,11,5,3,4,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-15346,28,7,1,2,18,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23987,33,12,2,3,17,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11099,18,6,4,10,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-19254,9,3,0,2,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16816,13,5,2,5,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pallets__flask-4992,15,3,1,7,4,True
20240402_sweagent_gpt4,sweagent,gpt4,pylint-dev__pylint-7080,10,4,1,1,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20049,20,7,3,4,3,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13439,35,2,1,31,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11630,32,6,5,21,2,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23563,15,4,3,6,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-11445,33,6,0,5,18,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-6116,14,5,1,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13915,13,3,1,2,7,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11039,31,1,0,26,3,True
20240402_sweagent_gpt4,sweagent,gpt4,pallets__flask-5063,10,3,0,4,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7220,34,17,3,6,10,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12184,18,6,1,2,9,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20154,36,3,1,27,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15061,9,2,0,1,5,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-15345,11,4,2,3,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15498,15,6,3,5,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16408,36,12,7,18,5,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-10325,33,11,0,2,18,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8282,16,7,1,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-6938,36,10,7,13,12,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-3362,12,6,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7168,8,2,1,3,0,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-7975,14,6,0,2,5,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-7490,15,3,0,4,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-17087,18,6,4,7,4,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-3364,31,10,5,12,8,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12915,36,9,7,21,5,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-22835,16,6,1,4,5,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13437,32,9,2,17,5,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-14182,33,11,10,20,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13757,17,5,0,5,6,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-26020,9,4,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21612,12,4,2,3,4,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-22711,14,5,3,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12983,13,4,2,3,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11422,26,6,1,9,10,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-16873,35,12,10,19,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11049,21,4,0,12,4,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-863,32,13,7,11,7,False
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21847,11,5,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14855,29,11,8,15,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14017,33,8,4,7,17,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-25332,33,11,2,11,10,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-10914,8,3,0,2,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-5103,11,3,0,0,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12708,28,6,6,21,0,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-18869,22,9,4,8,4,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-12856,36,14,2,9,11,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13265,13,12,0,0,0,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15851,39,6,0,30,2,False
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-25498,33,5,3,25,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-8721,33,18,0,0,14,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21627,31,9,1,2,19,True
20240402_sweagent_gpt4,sweagent,gpt4,mwaskom__seaborn-2848,32,21,1,2,8,True
20240402_sweagent_gpt4,sweagent,gpt4,astropy__astropy-7746,22,4,2,14,2,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14092,34,3,2,25,5,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11999,35,11,3,5,18,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-8906,24,8,4,11,4,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-11870,9,3,1,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14997,29,15,10,13,0,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13964,25,11,9,10,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13146,30,9,4,6,14,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-10508,11,5,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11133,14,6,3,5,2,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13401,23,10,3,5,7,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13480,8,3,2,3,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-17655,11,4,2,3,3,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11964,24,11,6,11,1,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-11019,17,6,4,7,3,True
20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-1963,35,11,11,23,0,True
20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-4094,23,7,4,5,10,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-19487,34,15,4,9,9,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-15252,31,7,4,17,6,True
20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13142,32,7,2,3,21,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-14915,18,8,5,7,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-22714,33,9,2,6,17,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-17022,34,19,1,2,12,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-5692,15,6,1,3,5,True
20240402_sweagent_gpt4,sweagent,gpt4,pylint-dev__pylint-6506,27,9,9,15,2,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-24152,11,5,2,3,2,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-9359,17,2,1,2,12,True
20240402_sweagent_gpt4,sweagent,gpt4,django__django-13033,28,8,5,12,7,True
20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-5227,10,1,0,6,2,True
20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24970,11,5,3,4,1,True
20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-7738,28,8,3,14,5,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-13031,34,6,3,6,21,True
20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-15011,32,11,2,14,6,True
